t, x1, y1, x2, y2
0.000000, 0.000000, 0.000000, 198890000.000000, -1651000000.000000
60.000000, 0.026569, -0.218784, 203650095.177002, -1650448446.796909
226.989461, 0.107326, -0.874996, 208408491.825875, -1649883182.335445
393.978922, 0.243530, -1.968461, 213165150.505649, -1649304212.038364
560.968383, 0.436437, -3.499005, 217920031.793895, -1648711541.441515
727.957844, 0.687304, -5.466445, 222673096.287041, -1648105176.193760
894.947305, 0.997389, -7.870600, 227424304.600700, -1647485122.056914
1061.936766, 1.367947, -10.711280, 232173617.369983, -1646851384.905661
1228.926227, 1.800234, -13.988296, 236920995.249827, -1646203970.727493
1395.915688, 2.295503, -17.701452, 241666398.915313, -1645542885.622626
1562.905149, 2.855010, -21.850551, 246409789.061988, -1644868135.803931
1729.894610, 3.480006, -26.435390, 251151126.406181, -1644179727.596859
1896.884071, 4.171745, -31.455764, 255890371.685327, -1643477667.439359
2063.873532, 4.931478, -36.911464, 260627485.658286, -1642761961.881807
2230.862993, 5.760458, -42.802278, 265362429.105658, -1642032617.586924
2397.852454, 6.659934, -49.127989, 270095162.830108, -1641289641.329697
2564.841915, 7.631155, -55.888379, 274825647.656680, -1640533039.997300
2731.831376, 8.675372, -63.083222, 279553844.433117, -1639762820.589014
2898.820837, 9.793833, -70.712293, 284279714.030177, -1638978990.216143
3065.810298, 10.987784, -78.775362, 289003217.341953, -1638181556.101930
3232.799759, 12.258474, -87.272193, 293724315.286189, -1637370525.581480
3399.789220, 13.607147, -96.202550, 298442968.804596, -1636545906.101666
3566.778681, 15.035050, -105.566191, 303159138.863171, -1635707705.221054
3733.768143, 16.543426, -115.362873, 307872786.452510, -1634855930.609808
3900.757604, 18.133520, -125.592345, 312583872.588125, -1633990590.049606
4067.747065, 19.806574, -136.254357, 317292358.310760, -1633111691.433557
4234.736526, 21.563831, -147.348654, 321998204.686707, -1632219242.766102
4401.725987, 23.406532, -158.874976, 326701372.808119, -1631313252.162933
4568.715448, 25.335917, -170.833060, 331401823.793324, -1630393727.850900
4735.704909, 27.353225, -183.222642, 336099518.787141, -1629460678.167917
4902.694370, 29.459696, -196.043451, 340794418.961192, -1628514111.562873
5069.683831, 31.656568, -209.295214, 345486485.514217, -1627554036.595536
5236.673292, 33.945076, -222.977655, 350175679.672387, -1626580461.936463
5403.662753, 36.326459, -237.090494, 354861962.689612, -1625593396.366899
5570.652214, 38.801950, -251.633446, 359545295.847862, -1624592848.778688
5737.641675, 41.372784, -266.606225, 364225640.457470, -1623578828.174172
5904.631136, 44.040194, -282.008540, 368902957.857448, -1622551343.666094
6071.620597, 46.805413, -297.840097, 373577209.415800, -1621510404.477501
6238.610058, 49.669673, -314.100597, 378248356.529827, -1620456019.941644
6405.599519, 52.634204, -330.789740, 382916360.626443, -1619388199.501880
6572.588980, 55.700235, -347.907221, 387581183.162481, -1618306952.711565
6739.578441, 58.868995, -365.452732, 392242785.625007, -1617212289.233962
6906.567902, 62.141713, -383.425961, 396901129.531624, -1616104218.842128
7073.557363, 65.519614, -401.826592, 401556176.430784, -1614982751.418820
7240.546824, 69.003925, -420.654306, 406207887.902096, -1613847896.956384
7407.536285, 72.595870, -439.908782, 410856225.556636, -1612699665.556653
7574.525746, 76.296672, -459.589694, 415501151.037251, -1611538067.430839
7741.515207, 80.107555, -479.696712, 420142626.018867, -1610363112.899430
7908.504668, 84.029741, -500.229504, 424780612.208799, -1609174812.392078
8075.494129, 88.064449, -521.187734, 429415071.347056, -1607973176.447493
8242.483590, 92.212899, -542.571061, 434045965.206644, -1606758215.713335
8409.473051, 96.476310, -564.379143, 438673255.593877, -1605529940.946099
8576.462512, 100.855899, -586.611633, 443296904.348678, -1604288363.011010
8743.451973, 105.352883, -609.268181, 447916873.344886, -1603033492.881907
8910.441434, 109.968477, -632.348433, 452533124.490561, -1601765341.641132
9077.430895, 114.703894, -655.852033, 457145619.728287, -1600483920.479418
9244.420356, 119.560348, -679.778619, 461754321.035474, -1599189240.695771
9411.409817, 124.539051, -704.127828, 466359190.424666, -1597881313.697359
9578.399278, 129.641214, -728.899293, 470960189.943838, -1596560150.999393
9745.388739, 134.868046, -754.092643, 475557281.676705, -1595225764.225012
9912.378200, 140.220756, -779.707503, 480150427.743017, -1593878165.105166
10079.367661, 145.700551, -805.743496, 484739590.298866, -1592517365.478495
10246.357122, 151.308637, -832.200241, 489324731.536984, -1591143377.291214
